0	1	14	[1, 1, 2, 2, 2, 2, 2, 2]
1	5	14	[1, 1, 1, 1, 2, 2, 3, 3]
2	1	14	[1, 1, 1, 1, 1, 1, 4, 4]
3	3	14	[1, 1, 1, 1, 2, 2, 2, 4]
4	1	14	[1, 1, 1, 1, 1, 3, 3, 3]
5	3	14	[1, 1, 1, 1, 1, 2, 3, 4]
6	4	14	[1, 1, 1, 2, 2, 2, 2, 3]
7	18	16	[1, 1, 2, 2, 2, 2, 3, 3]
8	6	16	[1, 1, 2, 2, 2, 2, 2, 4]
9	4	16	[1, 1, 1, 1, 2, 2, 4, 4]
10	7	16	[1, 1, 1, 1, 2, 3, 3, 4]
11	1	16	[2, 2, 2, 2, 2, 2, 2, 2]
12	17	16	[1, 1, 1, 2, 2, 2, 3, 4]
13	1	16	[1, 1, 1, 1, 1, 3, 4, 4]
14	2	16	[1, 1, 1, 1, 3, 3, 3, 3]
15	12	16	[1, 1, 1, 2, 2, 3, 3, 3]
16	5	16	[1, 2, 2, 2, 2, 2, 2, 3]
17	17	18	[1, 1, 1, 2, 3, 3, 3, 4]
18	10	18	[2, 2, 2, 2, 2, 2, 3, 3]
19	15	18	[1, 1, 1, 2, 2, 3, 4, 4]
20	27	18	[1, 2, 2, 2, 2, 3, 3, 3]
21	23	18	[1, 2, 2, 2, 2, 2, 3, 4]
22	12	18	[1, 1, 2, 2, 2, 2, 4, 4]
23	3	18	[1, 1, 1, 3, 3, 3, 3, 3]
24	23	18	[1, 1, 2, 2, 3, 3, 3, 3]
25	2	18	[2, 2, 2, 2, 2, 2, 2, 4]
26	3	18	[1, 1, 1, 1, 3, 3, 4, 4]
27	1	18	[1, 1, 1, 1, 2, 4, 4, 4]
28	46	18	[1, 1, 2, 2, 2, 3, 3, 4]
29	10	20	[1, 1, 1, 3, 3, 3, 4, 4]
30	1	20	[1, 1, 1, 1, 4, 4, 4, 4]
31	24	20	[1, 2, 2, 3, 3, 3, 3, 3]
32	40	20	[1, 2, 2, 2, 2, 3, 4, 4]
33	7	20	[1, 1, 1, 2, 3, 4, 4, 4]
34	54	20	[1, 1, 2, 2, 3, 3, 4, 4]
35	5	20	[1, 1, 3, 3, 3, 3, 3, 3]
36	25	20	[2, 2, 2, 2, 3, 3, 3, 3]
37	78	20	[1, 2, 2, 2, 3, 3, 3, 4]
38	9	20	[1, 1, 2, 2, 2, 4, 4, 4]
39	35	20	[1, 1, 2, 3, 3, 3, 3, 4]
40	8	20	[2, 2, 2, 2, 2, 2, 4, 4]
41	30	20	[2, 2, 2, 2, 2, 3, 3, 4]
42	66	22	[2, 2, 2, 3, 3, 3, 3, 4]
43	36	22	[1, 1, 2, 3, 3, 4, 4, 4]
44	7	22	[1, 1, 2, 2, 4, 4, 4, 4]
45	4	22	[1, 3, 3, 3, 3, 3, 3, 3]
46	9	22	[2, 2, 2, 2, 2, 4, 4, 4]
47	42	22	[1, 2, 2, 2, 3, 4, 4, 4]
48	19	22	[2, 2, 3, 3, 3, 3, 3, 3]
49	43	22	[1, 2, 3, 3, 3, 3, 3, 4]
50	110	22	[1, 2, 2, 3, 3, 3, 4, 4]
51	23	22	[1, 1, 3, 3, 3, 3, 4, 4]
52	68	22	[2, 2, 2, 2, 3, 3, 4, 4]
53	3	22	[1, 1, 1, 3, 4, 4, 4, 4]
54	5	24	[3, 3, 3, 3, 3, 3, 3, 3]
55	13	24	[2, 2, 2, 2, 4, 4, 4, 4]
56	5	24	[1, 1, 2, 4, 4, 4, 4, 4]
57	117	24	[2, 2, 3, 3, 3, 3, 4, 4]
58	29	24	[1, 3, 3, 3, 3, 3, 4, 4]
59	17	24	[1, 1, 3, 3, 4, 4, 4, 4]
60	86	24	[1, 2, 3, 3, 3, 4, 4, 4]
61	86	24	[2, 2, 2, 3, 3, 4, 4, 4]
62	29	24	[2, 3, 3, 3, 3, 3, 3, 4]
63	40	24	[1, 2, 2, 3, 4, 4, 4, 4]
64	94	26	[2, 2, 3, 3, 4, 4, 4, 4]
65	27	26	[1, 2, 3, 4, 4, 4, 4, 4]
66	28	26	[3, 3, 3, 3, 3, 3, 4, 4]
67	96	26	[2, 3, 3, 3, 3, 4, 4, 4]
68	37	26	[1, 3, 3, 3, 4, 4, 4, 4]
69	13	26	[2, 2, 2, 4, 4, 4, 4, 4]
70	3	26	[1, 1, 4, 4, 4, 4, 4, 4]
71	10	28	[1, 3, 4, 4, 4, 4, 4, 4]
72	50	28	[3, 3, 3, 3, 4, 4, 4, 4]
73	61	28	[2, 3, 3, 4, 4, 4, 4, 4]
74	13	28	[2, 2, 4, 4, 4, 4, 4, 4]
75	28	30	[3, 3, 4, 4, 4, 4, 4, 4]
76	7	30	[2, 4, 4, 4, 4, 4, 4, 4]
77	6	32	[4, 4, 4, 4, 4, 4, 4, 4]
