initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
57	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:2, 0:5, 1:5]
58	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5]
59	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5, 0:5]
60	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5, 0:5, 5:6]
61	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5, 5:6]
62	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5, 5:6, 1:3]
63	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 1:6, 1:5, 5:6, 1:3, 1:2]
64	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 0:3]
65	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 3:5, 3:6, 0:3, 1:3]
66	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6]
67	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 0:5]
68	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6]
69	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3]
70	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 0:5]
71	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 0:5, 0:3]
72	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 0:5, 0:3, 0:6]
73	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 0:3]
74	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 1:5]
75	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 1:5, 0:5]
76	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 1:5, 0:3]
77	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 1:5, 0:3, 0:5]
78	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4]
79	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5]
80	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 1:4]
81	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 1:4, 1:2]
82	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 1:4, 0:3]
83	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 1:4, 0:3, 1:2]
84	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 1:4, 0:3, 4:6]
85	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 0:3]
86	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 0:3, 2:6]
87	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 0:3, 2:6, 4:6]
88	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 0:3, 2:6, 4:6, 1:4]
89	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:5, 0:3, 0:6]
90	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 0:3]
91	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6]
92	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6, 0:3]
93	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6, 1:2]
94	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6, 4:6]
95	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6, 4:6, 1:4]
96	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:3, 2:4, 3:6, 4:6, 1:4, 0:3]
97	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4]
98	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4, 1:5]
99	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4, 1:5, 2:6]
100	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4, 1:5, 2:6, 1:2]
101	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4, 1:5, 1:2]
102	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 2:4, 0:3]
103	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 5:6, 1:6, 1:5]
104	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 0:5, 3:6]
105	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 0:5, 2:4, 5:6]
106	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 3:5, 0:5, 2:4, 5:6, 1:5]
107	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 2:4, 2:6]
108	[0:1, 0:2, 2:3, 3:4, 4:5, 2:5, 0:4, 2:4, 2:6, 1:2]
109	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:4, 3:5, 0:5, 0:3, 0:6]
110	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:4, 3:5, 0:5, 3:6]
111	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 1:2, 0:5, 0:4, 3:5, 0:6]
112	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:5, 3:5, 5:6]
113	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6]
114	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 0:4]
115	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 0:4, 0:5]
116	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2]
117	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 2:6]
118	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 2:6, 2:4]
119	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 2:6, 1:4]
120	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5]
121	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 3:5]
122	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 3:5, 2:6]
123	[0:1, 0:2, 2:3, 3:4, 4:5, 1:5, 2:5, 1:3, 0:3, 0:6, 1:2, 0:5, 3:5, 2:6, 1:6]
