initial 0	[0:1, 0:2, 0:3, 0:4, 0:5]
230	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 2:6, 2:4]
231	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 2:6, 2:4, 1:6]
232	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 3:5]
233	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5]
234	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 1:4]
235	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 1:4, 1:6]
236	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 1:4, 1:6, 3:5]
237	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 1:4, 1:6, 2:4]
238	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 1:4, 2:6]
239	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 2:6]
240	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:5, 3:5]
241	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:4]
242	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:4, 2:4]
243	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:4, 3:5]
244	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 0:4, 3:5, 0:5]
245	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 3:6, 1:4]
246	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:2, 0:5]
247	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:4]
248	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 1:4, 0:4]
249	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 0:4]
250	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 0:4, 0:5]
251	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 0:6, 3:5]
252	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 1:2]
253	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 1:2, 3:6]
254	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 1:2, 3:6, 0:5]
255	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:5, 2:5, 0:3, 4:6, 1:2, 1:4]
256	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:2]
257	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:2, 1:5]
258	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:2, 1:5, 2:5]
259	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:3, 1:2, 1:5, 2:5, 1:4]
260	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 0:4]
261	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 0:4, 2:5]
262	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 0:4, 2:5, 2:4]
263	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6]
264	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3]
265	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5]
266	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6]
267	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:3]
268	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:3, 0:5]
269	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5]
270	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 2:6]
271	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6]
272	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 2:6]
273	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 2:6, 1:2]
274	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 2:6, 1:2, 2:4]
275	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 2:6, 1:2, 2:4, 1:4]
276	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 3:5]
277	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 3:5, 2:6]
278	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 3:5, 2:6, 0:6]
279	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 1:5, 4:6, 3:5, 2:6, 0:6, 0:3]
280	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6]
281	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 1:5]
282	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 1:5, 0:3]
283	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 1:5, 0:3, 0:5]
284	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 1:5, 0:3, 0:5, 3:5]
285	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 0:3]
286	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 0:6, 0:3, 0:5]
287	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 2:6]
288	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 2:6, 0:6]
289	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 2:6, 0:6, 2:4]
290	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 2:6, 0:6, 4:6]
291	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 3:6, 2:6, 0:3]
292	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4]
293	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 0:5]
294	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 0:5, 4:6]
295	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 0:5, 4:6, 0:4]
296	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 0:5, 1:2]
297	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6]
298	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4]
299	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 4:6]
300	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 4:6, 3:5]
301	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2]
302	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2, 3:5]
303	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2, 3:5, 4:6]
304	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2, 3:5, 4:6, 2:6]
305	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2, 3:5, 4:6, 2:6, 1:5]
306	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 1:4, 1:2, 3:5, 1:5]
307	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 2:4, 3:6, 4:6]
308	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6]
309	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4]
310	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6]
311	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2]
312	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2, 1:5]
313	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2, 1:4]
314	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2, 1:4, 2:6]
315	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2, 1:4, 1:5]
316	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:2, 1:4, 1:5, 2:6]
317	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:4]
318	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 1:4, 0:4]
319	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3]
320	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3, 1:5]
321	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3, 3:6]
322	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3, 3:6, 0:5]
323	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3, 3:6, 0:5, 0:4]
324	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:3, 3:6, 0:5, 0:4, 2:6]
325	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:5]
326	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:5, 1:4]
327	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 4:6, 0:5, 1:4, 0:3]
328	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6]
329	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6]
330	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 2:6]
331	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 2:6, 1:2]
332	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2]
333	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4]
334	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5]
335	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 2:6]
336	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5]
337	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 2:6]
338	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 0:3]
339	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 0:3, 0:5]
340	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 0:3, 0:5, 2:6]
341	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 0:3, 0:5, 2:6, 0:4]
342	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 1:4, 1:5, 3:5, 0:3, 2:6]
343	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 2:4, 3:6, 4:6, 1:2, 0:4]
344	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4]
345	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4, 1:2]
346	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4, 0:4]
347	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4, 0:4, 1:2]
348	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4, 0:4, 1:2, 2:4]
349	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:4, 0:4, 1:2, 1:5]
350	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:2]
351	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:2, 2:4]
352	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:6, 1:2, 2:6]
353	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4]
354	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:4]
355	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:4, 0:3]
356	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:4, 2:6]
357	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:4, 2:6, 1:2]
358	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 1:5]
359	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 1:5, 2:4]
360	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6]
361	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6]
362	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3]
363	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 2:4]
364	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 2:4, 3:5]
365	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 3:5]
366	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 3:6]
367	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 3:6, 2:4]
368	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:3, 3:6, 2:4, 0:6]
369	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 2:4]
370	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5]
371	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:3]
372	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:3, 3:5]
373	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:3, 3:5, 0:6]
374	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 1:4]
375	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 1:4, 1:2]
376	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 1:4, 1:2, 2:4]
377	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6]
378	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 3:6]
379	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 1:2]
380	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 0:5]
381	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 0:5, 3:6]
382	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 0:5, 3:6, 0:3]
383	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 1:5, 0:6, 0:5, 3:6, 0:3, 3:5]
384	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:5]
385	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:5, 2:4]
386	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 4:6, 0:5, 2:4, 1:4]
387	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 0:3]
388	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 2:5, 0:4, 2:6, 0:3, 3:5]
389	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4]
390	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 0:3]
391	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5]
392	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6]
393	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 0:3]
394	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 0:3, 1:4]
395	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 0:3, 3:5]
396	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 0:3, 3:5, 1:4]
397	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 1:4]
398	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 0:4, 1:5, 4:6, 1:4, 2:4]
399	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6]
400	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3]
401	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6]
402	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 0:4]
403	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 0:5]
404	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 0:5, 0:4]
405	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 3:5]
406	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 3:5, 3:6]
407	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 2:6]
408	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 2:6, 1:2]
409	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 2:6, 1:2, 1:4]
410	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 2:6, 3:6]
411	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 1:4]
412	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 1:4, 3:5]
413	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:6, 1:4, 3:5, 3:6]
414	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:5]
415	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:5, 0:4]
416	[0:1, 0:2, 2:3, 3:4, 4:5, 5:6, 1:6, 1:3, 4:6, 0:3, 0:5, 0:4, 3:5]
417	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6]
418	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5]
419	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6]
420	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 0:4]
421	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 0:4, 2:4]
422	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2]
423	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2, 0:4]
424	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2, 0:4, 1:4]
425	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2, 0:4, 1:4, 2:4]
426	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2, 0:4, 2:4]
427	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 2:6, 1:2, 2:4]
428	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2]
429	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 1:4]
430	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 1:4, 0:4]
431	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6]
432	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 0:4]
433	[0:1, 0:2, 2:3, 3:4, 4:5, 4:6, 2:5, 1:2, 0:6, 1:6]
